,year,conf_level,Intersection
545,2020,high,No intersection
546,2020,high,No intersection
547,2020,high,No intersection
548,2020,high,No intersection
549,2020,high,No intersection
550,2020,high,No intersection
551,2021,high,No intersection
552,2021,high,No intersection
553,2020,high,No intersection
554,2020,high,No intersection
555,2020,high,No intersection
556,2020,high,No intersection
557,2020,high,No intersection
558,2020,high,No intersection
559,2020,high,No intersection
560,2020,high,No intersection
561,2020,high,No intersection
562,2020,high,No intersection
563,2020,high,No intersection
564,2021,high,No intersection
565,2020,high,No intersection
566,2020,high,No intersection
567,2020,high,No intersection
568,2020,high,No intersection
569,2020,high,No intersection
570,2020,high,No intersection
571,2020,high,No intersection
572,2020,high,No intersection
573,2020,high,No intersection
574,2020,high,No intersection
575,2020,high,No intersection
576,2020,high,No intersection
577,2020,high,No intersection
578,2020,high,No intersection
579,2020,high,No intersection
580,2020,high,No intersection
581,2020,high,No intersection
582,2021,high,No intersection
583,2024,low,No intersection
584,2020,high,No intersection
585,2020,high,No intersection
586,2024,low,No intersection
587,2020,high,No intersection
588,2020,high,No intersection
589,2024,low,No intersection
590,2024,low,No intersection
591,2024,low,No intersection
592,2024,high,No intersection
593,2024,low,No intersection
594,2024,low,No intersection
595,2024,high,No intersection
596,2020,low,No intersection
597,2020,low,No intersection
598,2024,low,No intersection
599,2024,high,No intersection
600,2024,high,No intersection
601,2024,high,No intersection
602,2024,high,No intersection
603,2024,high,No intersection
604,2024,low,No intersection
605,2024,high,No intersection
606,2024,high,No intersection
607,2024,high,No intersection
608,2024,high,No intersection
609,2024,high,No intersection
610,2024,low,No intersection
611,2024,low,No intersection
612,2024,high,No intersection
613,2024,high,No intersection
614,2024,low,No intersection
615,2024,low,No intersection
616,2020,high,No intersection
617,2020,high,No intersection
618,2021,high,No intersection
619,2021,high,No intersection
620,2023,high,No intersection
621,2023,high,No intersection
622,2023,high,No intersection
623,2023,high,No intersection
624,2023,high,No intersection
625,2023,high,No intersection
626,2023,high,No intersection
627,2023,high,No intersection
628,2023,high,No intersection
629,2023,high,No intersection
630,2023,high,No intersection
631,2023,high,No intersection
632,2022,high,No intersection
633,2022,high,No intersection
634,2023,high,No intersection
635,2023,high,No intersection
636,2023,high,No intersection
637,2023,high,No intersection
638,2023,high,No intersection
639,2023,high,No intersection
640,2023,high,No intersection
641,2024,low,No intersection
642,2023,high,No intersection
643,2023,high,No intersection
644,2023,high,No intersection
645,2023,high,No intersection
646,2023,high,No intersection
647,2024,low,No intersection
648,2023,high,No intersection
649,2023,high,No intersection
650,2023,high,No intersection
651,2023,high,No intersection
652,2023,high,No intersection
653,2023,high,No intersection
654,2023,high,No intersection
655,2023,high,No intersection
656,2024,high,No intersection
657,2023,high,No intersection
658,2023,high,No intersection
659,2023,high,No intersection
660,2023,high,No intersection
661,2023,high,No intersection
662,2023,high,No intersection
663,2023,high,No intersection
664,2024,high,No intersection
665,2024,high,No intersection
666,2023,high,No intersection
667,2023,high,No intersection
668,2023,high,No intersection
669,2023,high,No intersection
670,2023,high,No intersection
